epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.62404,1.96282,3.87303,1.6684,0.00959,0.20514,0.01504,0.00539,1.69791,3.74336,1.45745,7.145e-05,7.145e-05,7.145e-05
2,2.69457,1.73562,3.69237,1.49204,0.01282,0.27379,0.05173,0.02078,1.45121,3.58456,1.2855,0.000156412,0.000156412,0.000156412
3,3.75673,1.62817,2.97955,1.36764,0.0179,0.31715,0.07503,0.03518,1.59866,3.36072,1.38437,0.000240525,0.000240525,0.000240525
4,4.77754,1.59639,2.40367,1.34219,0.03126,0.49941,0.1761,0.09272,1.57556,3.07223,1.36753,0.000323789,0.000323789,0.000323789
5,5.89021,1.52672,2.07779,1.28596,0.0334,0.51769,0.18004,0.10234,1.49349,3.01048,1.33596,0.000406205,0.000406205,0.000406205
6,6.87144,1.52827,2.03919,1.26935,0.03421,0.5439,0.18139,0.10557,1.58768,2.93443,1.40822,0.000487771,0.000487771,0.000487771
7,7.86149,1.42946,1.9069,1.26399,0.72445,0.16288,0.24812,0.15066,1.51922,2.52,1.35955,0.000568489,0.000568489,0.000568489
8,8.85771,1.42383,1.8236,1.22851,0.58356,0.25699,0.23867,0.14298,1.51147,2.15733,1.31897,0.000648358,0.000648358,0.000648358
9,9.83467,1.43511,1.71031,1.23378,0.5653,0.2536,0.23732,0.13534,1.61418,2.14182,1.45049,0.000727378,0.000727378,0.000727378
10,10.7792,1.45414,1.62525,1.23072,0.62605,0.29935,0.25862,0.14496,1.63903,2.2687,1.46112,0.000805549,0.000805549,0.000805549
11,11.7612,1.37009,1.57374,1.18809,0.28735,0.26719,0.27554,0.16493,1.56722,2.40933,1.37701,0.000882872,0.000882872,0.000882872
12,12.7141,1.35627,1.53912,1.19187,0.30887,0.17614,0.20188,0.12027,1.61108,2.71883,1.38153,0.000959346,0.000959346,0.000959346
13,13.6885,1.35225,1.49651,1.17863,0.24823,0.21677,0.16904,0.10454,1.59907,2.73126,1.41449,0.00103497,0.00103497,0.00103497
14,14.7039,1.40321,1.47973,1.18952,0.2296,0.25502,0.17015,0.09486,1.6861,2.65762,1.49049,0.00110975,0.00110975,0.00110975
15,15.6366,1.33332,1.42766,1.15459,0.35017,0.27852,0.18444,0.09322,1.65814,2.59691,1.46927,0.00118367,0.00118367,0.00118367
16,16.5758,1.34621,1.39264,1.16473,0.29843,0.32005,0.24488,0.1344,1.51776,2.43148,1.36251,0.00125675,0.00125675,0.00125675
17,17.5328,1.31791,1.39321,1.15834,0.33786,0.30566,0.2863,0.14648,1.54208,2.43351,1.3199,0.00131582,0.00131582,0.00131582
18,18.5386,1.32804,1.38937,1.17182,0.32745,0.39248,0.32777,0.17669,1.53356,2.32161,1.31033,0.00130875,0.00130875,0.00130875
19,19.4958,1.28743,1.33963,1.14816,0.33507,0.38797,0.3288,0.18233,1.50967,2.31579,1.29108,0.00130168,0.00130168,0.00130168
20,20.4603,1.27462,1.30616,1.14581,0.32448,0.36451,0.2958,0.15396,1.56978,2.48641,1.32957,0.0012946,0.0012946,0.0012946
21,21.5286,1.25856,1.32332,1.14784,0.38916,0.30794,0.26713,0.13504,1.58244,2.61038,1.3559,0.00128753,0.00128753,0.00128753
22,22.5282,1.2805,1.28896,1.12545,0.29255,0.34528,0.2677,0.14968,1.53659,2.44363,1.32372,0.00128046,0.00128046,0.00128046
23,23.4877,1.31538,1.3031,1.16513,0.30741,0.35176,0.26819,0.15123,1.56826,2.37865,1.31917,0.00127338,0.00127338,0.00127338
24,24.5145,1.22492,1.20834,1.12129,0.29649,0.31874,0.24574,0.14063,1.56713,2.39591,1.38534,0.00126631,0.00126631,0.00126631
25,25.4754,1.19021,1.19243,1.11242,0.32414,0.29454,0.24985,0.1522,1.5466,2.33806,1.37961,0.00125923,0.00125923,0.00125923
26,26.4605,1.1937,1.19835,1.10477,0.29181,0.22458,0.21059,0.12616,1.62929,2.6511,1.43589,0.00125216,0.00125216,0.00125216
27,27.4233,1.14066,1.14921,1.0837,0.28155,0.26272,0.23106,0.13667,1.57501,2.34418,1.39221,0.00124509,0.00124509,0.00124509
28,28.4109,1.17221,1.13087,1.09832,0.29152,0.39622,0.26223,0.15667,1.5679,1.92595,1.34693,0.00123801,0.00123801,0.00123801
29,29.3813,1.17337,1.16804,1.09585,0.28947,0.38432,0.24635,0.145,1.57927,1.96004,1.33934,0.00123094,0.00123094,0.00123094
30,30.3643,1.18216,1.11049,1.0922,0.28572,0.27781,0.21885,0.12898,1.56437,2.07157,1.36015,0.00122387,0.00122387,0.00122387
31,31.3971,1.20329,1.09545,1.09325,0.25002,0.36643,0.23236,0.131,1.57292,2.03668,1.36019,0.00121679,0.00121679,0.00121679
32,32.5686,1.17545,1.08495,1.07817,0.36896,0.28463,0.28982,0.16832,1.44606,1.95616,1.28359,0.00120972,0.00120972,0.00120972
33,33.5311,1.17947,1.08134,1.08719,0.43652,0.24643,0.30642,0.18449,1.45779,1.97845,1.28825,0.00120265,0.00120265,0.00120265
34,34.536,1.172,1.08959,1.09327,0.42044,0.34941,0.32402,0.17678,1.47542,1.9867,1.31515,0.00119557,0.00119557,0.00119557
35,35.5147,1.13376,1.08064,1.07158,0.45064,0.3455,0.34465,0.18902,1.50906,1.85136,1.36422,0.0011885,0.0011885,0.0011885
36,36.5075,1.12198,1.08225,1.07507,0.46286,0.34554,0.29973,0.16793,1.49529,1.80416,1.35503,0.00118143,0.00118143,0.00118143
37,37.467,1.16504,1.08946,1.08206,0.41447,0.36519,0.29238,0.16607,1.48284,1.81181,1.34401,0.00117435,0.00117435,0.00117435
38,38.4604,1.14565,1.04936,1.08615,0.38497,0.3582,0.27968,0.16058,1.535,2.02881,1.34818,0.00116728,0.00116728,0.00116728
39,39.378,1.11347,1.03977,1.07585,0.35862,0.39171,0.28244,0.16577,1.49739,2.04421,1.33435,0.00116021,0.00116021,0.00116021
40,40.3741,1.10707,1.00898,1.06535,0.35135,0.36661,0.28735,0.16494,1.47876,2.03212,1.34704,0.00115313,0.00115313,0.00115313
41,41.3558,1.1001,1.01621,1.05003,0.46339,0.35544,0.31589,0.16956,1.49582,1.98923,1.34068,0.00114606,0.00114606,0.00114606
42,42.3987,1.12011,1.00613,1.06873,0.34998,0.37286,0.28558,0.16772,1.46853,1.93426,1.3563,0.00113898,0.00113898,0.00113898
43,43.3417,1.12117,1.00311,1.06669,0.43065,0.33902,0.30211,0.17649,1.47723,1.92333,1.36271,0.00113191,0.00113191,0.00113191
44,44.3315,1.06483,0.94583,1.03303,0.43448,0.39272,0.32923,0.19556,1.47784,1.9358,1.33374,0.00112484,0.00112484,0.00112484
45,45.2911,1.07764,1.0065,1.0695,0.42204,0.37039,0.31513,0.17952,1.48926,2.02643,1.33014,0.00111776,0.00111776,0.00111776
46,46.2748,1.07976,1.05138,1.08557,0.38216,0.39817,0.30878,0.179,1.46689,1.90984,1.29957,0.00111069,0.00111069,0.00111069
